tweeet_1_type,tweeet_1_text,tweeet_2_type,tweeet_2_text,tweeet_3_type,tweeet_3_text,tweeet_4_type,tweeet_4_text,tweeet_5_type,tweeet_5_text,tweeet_6_type,tweeet_6_text,tweeet_7_type,tweeet_7_text,tweeet_8_type,tweeet_8_text,tweeet_9_type,tweeet_9_text,tweeet_10_type,tweeet_10_text
retweet,"""NY man"" https://t.co/dlPjSV088e",retweet,"NEW:

Soros-backed group that supports defunding police and abolishing ICE has poured $350k into voter canvassing e… https://t.co/x6LD2pXjht",favorite,"Karine Jean-Pierre: “Denying the results of an election makes you a threat to our democracy”

Also Karine Jean-Pier… https://t.co/HN0HCr3bS8",retweet,Was Paul Pelosi’s attacker released via no bail or did different rules kick in?,retweet,IT JUST GETS WEIRDER 👀 https://t.co/zXWwllxFgl,retweet,"We’re getting reports that lines are getting shorter! Many people are just now getting off of work &amp; headed to VOTE! 

Reminder: if you are in line at 7:00 when polls close, stay in line! They legally must let you cast your ballot. 

RT THIS! SCREENSHOT! SHARE!",retweet,"This is so amazing. 

The guy responsible for the viral misinformation about border patrol agents using whips compl… https://t.co/Xn8MxHGWlY",retweet,"BREAKING: Reports out of Maricopa county of Machines “not working” and ballots being “misread”

WHAT IS GOING ON?
 https://t.co/lkd0YXegXZ",retweet,"I am getting flooded with calls and text messages from people who are having trouble voting all over Maricopa County.

THIS is why we must reform our elections. https://t.co/oFFElskQFs",retweet,"After nine months in office, Manhattan DA has nothing to Bragg about https://t.co/83p170Brxa https://t.co/KLwEw58T6U"
tweet,@TrekSegafredo @sram I love my eTap. X,tweet,So many people have come out to support @desELLESauVELO and @InternationEll2 this morning as they ride the last sta… https://t.co/TAhbHahXZQ,tweet,Here I am with the awesome @IAmSteveHarvey on @NBCLilBigShots ..... this was so much fun..... Ruby X https://t.co/2Rur9pfm3v,tweet,"@Frandommom @Specialized_UK @iamspecialized @specializedwmn Thank you, the bike is so awesome! Ruby X",tweet,@desELLESauVELO I’m so excited about this..... I’m also hoping that I might be able to meet up with 13 awesome ride… https://t.co/JZbUSumxpI,tweet,@Rachpali Thank you we really need a new photo soon. X,tweet,@JustineHagar Thank you. X,tweet,@KidKarbon If you send me your address I will send you one. Hopefully it will bring you luck. Ruby X,tweet,@kansas_js @wcveworldmusic @YouTube @daniellloyd1 He’s awesome and must have been flying up there. X,tweet,It’s my first week back at school.... if some of you are also back at school this week I hope you have an awesome t… https://t.co/EESCAWDEMd
favorite,@ChidzidziG They are some in the opposition  for 20 years and have become addicted to opposition politics. They fei… https://t.co/jSlJSTEhDA,tweet,"@DeSantisFan2024 Desantis's 2024 advocates hate Trump so much that they're even willing to deny gross irregularities in the election. Trump had the most votes of an incumbent in history, increasing his votes by 12 000 000. A feat that will never be achieved even by Desantis. Watch.",tweet,@Phislash Almost all the world governments are signing in 4 days time at the WHO and WEF summit. I think they are planning more pandemics and hence they want global control without having to deal with democracy.,tweet,@DailyCaller I seriously think someone needs to look into the possibility that the American government has been hijacked by Aliens or demons. I know it sounds crazy but what's happening to America is not normal either. I think a vast majority of people are under a hypnotic or demonic power.,tweet,"@rednevednav @KurtSchlichter @Kathy4Truth MAGA is under attack from within, the influencers and podcasters want to hijack and create a movement within a movement. A divided house cannot stand.",tweet,@Yvonne_Maphosa Lol Plumtree High School; Gaul House,tweet,"@ChrisExcel102 These lux supporters have a legitimate cause, however that cause is either sponsored or unwittingly… https://t.co/CdVwTbRnpE",tweet,@FrankCopenhagen @Luthier122 @CNN @jaketapper I'm not woke,tweet,"@SizweLo Its just like the covid narrative, create chaos and euphoria over a treatable flue,insist people must give up their freedoms to protect themselves, in this instance, give up your freedom for  protection from the immigrants, textbook formation of an authoritarian state.",tweet,@BelleSonia4 Ok...No followers then
favorite,"Stop The Spread And Stay Safe
#coronavirus
#COVID__19 
#COVID19 https://t.co/OEBmesRNsR",tweet,"Shame On Bollywood. How They Kills Talents.

#Bollywood 
#justiceforSushanthSinghRajput 
#NepotismEndsin2020 

@itsSSR 

https://t.co/SE4iefcCZp",tweet,"What Type Of Vaccine This Is. I Am Shocked

#COVID19
#coronavirus

https://t.co/FVddMrqQYt",retweet,"On Oct. 3, President Trump said that Senate Majority Leader McConnell said his phone call with Ukraine's president was ""innocent.""

On Tuesday, McConnell said: ""I don't recall any conversations with the president about that phone call."" https://t.co/jnyULDsfRD",tweet,"Here's The Live Updates Of India China Face-Of

#worldwar3
#chinaindiaborder
#IndiaChinaFaceOff
#BoycottChineseProduct
#China
#IndianArmy
#GalwanValley

https://t.co/czemTuqgfH",favorite,"#COVID__19 

https://t.co/FVddMrqQYt",retweet,"This weekend, man's best friend was also freedom's best friend.

Wishing a speedy recovery to our favorite four-legged fighter who served our country alongside the brave Special Ops team that took down ISIS leader Abu Bakr Al-Baghdadi: https://t.co/BxU4sAebI8",retweet,"Barack Obama did NOTHING to save the life of Kayla Mueller.

If President Trump was in office when Kayla was captured by ISIS, she could still be alive today.

Kayla was a remarkable woman, honored by a remarkable President! https://t.co/5FY5lvPI4N",tweet,"Happy Birthday Vijay : Did You Know These ' Thalapathy ' Movies Have Bollywood, Punjabi Remakes

#HBDTHALPATHYVijay

https://t.co/xzf3eJreoz",retweet,"in 2017, Trump’s first year, US government had budget deficit of $665-B

then came Trump/GOP tax cuts

today, administration announced 2019 deficit of $984-B

Treasury Secretary Mnuchin: “In order to put America on a sustainable financial path, we must cut wasteful spending”"
tweet,Ted Cruz is a sick POS. https://t.co/tVf1PZKVGI,retweet,"Dem Maura Healey wins Gov race in Massachusetts, first Dem in 2 terms.",favorite,"Election day has taken its toll on me, it's taking its toll on a lot of us. I'm already contemplating what I can do to make myself feel a little better. Self-care is so important. Remember to love yourself. 😘",tweet,@JudsonKimmel1 @EllieKdsp The advice that Jud has given you is golden. I'm sending you a big (((hug))),tweet,"@joncoopertweets No, seriously, fuck MAGA.",tweet,@FireProCurtland @trumpchugadick @myamacka @vdj62 @NoLieWithBTC I know the area well!,favorite,@joshcrunchy You've got a double whammy and I feel for you. It's very frustrating.,tweet,This is class https://t.co/lmqn9exlM4,retweet,"Why isn't Gretchen Whitmer getting the press coverage that Desantis is? 

Not only did she easily win reelection, she flipped both chambers and held onto the AG and SS.",tweet,@TimHannan I am glad you are staying Tim. I look forward to your posts. I'm staying as well.
tweet,Check out the great outerwear from Old Navy here! : http://t.co/Ywpvb3TJ #crowdtapper,tweet,"@Aerie @ILOVEAGOOD movie, wine, and comfy pants like my anchor ones from the Aerie spring line.  #AerieREAL",tweet,Just got this limited #Northpolemovie sticker. Get yours now #tvtag http://t.co/Clmn8ZZE6l #Northpolemovie,tweet,I'm watching Cupcake Wars http://t.co/79apnIzQ #GetGlue @FoodNetwork,tweet,@JungleJulia can you please tweet me the group shot from tonight? Thanks! :),tweet,"I'm at Beach at Ponce Inlet (Port Orange, Florida) http://t.co/j7Ujwzql",favorite,"I'm jamplifying @SickPuppies! Check out Sick Puppies @ The Ritz Ybor (Oct 2 - Tampa, FL) at http://t.co/gOs0vrkBrM via @jamplify",tweet,Apply for the Gold Delta SkyMiles® Card with this link. We can both get rewarded if you're approved! https://t.co/77MCML7qF0,tweet,@SickMarkGoodwin I like your new pic on here!,retweet,http://www.youtube.com/watch?v=3h4yK5JMDO8
tweet,"@Rubie_Q Right, Jace Peterson is pretty much the same as Jose Ramirez, just need him to get hot.",tweet,"@mpbMKE @kurly99 @adamcappellein6 @bachlaw @MadMaxMKE I think the power struggle that Rodgers “won” two years ago was the start of the downfall. Rodgers knew he controlled everyone in the building, it’s an indictment on all of them for allowing one player to be bigger than everyone else.",tweet,"@lisaann7451 @rhisav25 @mikeconvente @DanielBice @GovEvers @michelsforgov Mail in votes are counted last, most likely overnight.",tweet,@darrenrovell Last 30 days 5-1?,tweet,"@mpbMKE @bachlaw @MadMaxMKE I think an argument can be made that if Rodgers would actually hit open receivers we’d have a much different opinion of MLF this year. If your QB is a bottom tier QB, it’s difficult to make an offense look good.",tweet,"Selling &gt; Standing Pat &gt; Buying. 

Gute could have done better but giving away future resources for this dumpster t… https://t.co/bSINN1kUkK",tweet,@ccoleman_DC @Morere68 @Tony4WI How ya feelin?,retweet,@CaseyNewton @platformer Starting to suspect this is some kind of “Brewster’s Millions” situation where he secretly has only 30 days to lose all $44 billion dollars,tweet,I think that Diggs catch was actually incomplete based on the rule,tweet,@CharlesRobinson Don’t captains have to sign stuff after the game?
tweet,"there will be dogs in the library.

repeat: there will be dogs in the library!

we have successfully books @wagsformags to swing by with their adorable pups on Study Day! this means, patrons can come on in &amp; pet the pooper snoots between study sessions. https://t.co/GOUAX7Rv8m",favorite,"happy holidays! break is coming y'all &amp; we're reducing hours.

w 12/15 - 8a-5p
th 12/16 - 8a-5p
f 12/17 - 8a-5p
sa 12/18 - CLOSED
su 12/19 - CLOSED
m 12/20 - 8a-5p
tu 12/21 - 8a-5p
w 12/22 - 8a-5p

then we're closed until jan. 3rd! books may still be returned into the dropbox. https://t.co/MY5RyChpBd",tweet,"Winter turns away, relinquishing its hold upon the land as spring settles in, announcing its presence by bursting sunshine at our feet.

Fairy tale beauty lingers just outside the library's door. Welcome back, spring days!
🌼🌼🌼 https://t.co/7GHoND7mhs",tweet,"We at @bradleyu will throw confetti in the air, clap uproariously, and scream vigorously in celebration of our founder, Lydia Moss Bradley. An incredible woman who dedicated her life for the betterment of others.

Thank you, Lydia.
#InternationalWomensDay https://t.co/7a0QRhXVIk",tweet,"Stacks Café opens today (9/29) at 1:30p! Perfect for #NationalCoffeeDay celebrations. Or warmth. Or caffeine. Or who needs an excuse, because coffee. ☕️ https://t.co/DQuoBGZK6Z",tweet,"Banned Books Week
Sept 18-24 
You can:
- Write 📝 a postcard to support local public library or school boards &amp; directors
- Ice Cream 🍦 Tu, 9/20 from 1-3 pm
- Test 🧠 your knowledge of book challenges
- Participate 🗣️ in a read-out in the Wyckoff Room on Wed, 9/21 at 6:30-8 pm https://t.co/F5Q4URpdlo",tweet,"We've started adding RPG books. Anyone have a request to add to the collection?
#dnd https://t.co/CS1GAsAue5",retweet,"Following a nationwide search, Bradley University has appointed Dr. Rui Li as its inaugural Assistant Vice President for Online and Distance Education. She will assume the role on May 31. https://t.co/gjV1m5YhmD",tweet,happy birthday matt groening! 🎂🥳 thank you for your prolific body of work which has inspired a great many amazing gifs. social media wouldn't be as fun without you. https://t.co/Ql21hAFU4q,tweet,"@BU_SCC @bradleyu Ooh! We've had so many students come in looking or jobs, but we're not hiring at the moment. Perfect to send the students your way!"
tweet,@ReturnNormalcy You must not have an actual life if you’re literally losing sleep over this lol.,retweet,@bgmasters Senator Blake Masters (R-AZ),tweet,I hate the GOP. We waste money on the illusion of Lee Zeldin winning in New York (I’m from NY but I’m a realist) which isn’t going to happen but we abandoned super based Doug Mastriano in winnable PA. Mitch should be arrested. Sorry Doug. You were a true MAGA soldier.,tweet,Battle of the Beaners. https://t.co/TjsMV0xStw,favorite,I hate fatass Ben Domenech. He’s a chubby neocon who’s married to a fat ugly bitch. I hope he chokes to death on a chicken wing the next time he’s playing world of Warcraft.,tweet,@intertubenube @LapisLazuli234 Lol I have buddy. I don’t mind being friends/friendly with them. I just don’t approve of them marrying or adopting and the ones I met fully respect my opinion.,favorite,@intertubenube @JulesAdams1776 Im not here to advocate for the rest of the world.,favorite,Aaron Rodgers with two redzone interceptions today vs. the Lions defense. Man.,retweet,"Bernard Pollard:

Tore Tom Brady's ACL
Tore Wes Welker's ACL
Gave Gronk a high ankle sprain
Killed Stevan Ridley
Th… https://t.co/dUPD1rEbFg",retweet,This was a blue wave.
tweet,@kyuu @gebenhagen I want all these things,tweet,I don't think it's that people don't know what to do when traffic lights are out. I think they have no idea how a 4-way stop works.,tweet,"@abrushet @iscarius It only becomes unsafe when someone dies... Thanks, union.",tweet,"Simultaneous singing. Simultaneous tweeting. That's love, kids. Remember that.",tweet,"England, I swear you have the nastiest transit workers in the world. Asking a question should not be answered with growls.",tweet,Waiting to hear from real estate agent to see if our bid on a new unit was accepted. May vomit from anxiety. Yaaaay happy Wednesday.,tweet,"Londoners, can we sign a pact to teach our kids not to scream like they are auditioning for another remake of Psycho's shower scene?",favorite,@kyuu Empatetic to a community perhaps?,tweet,"Well I just used my lunch break to write fan fiction, so yeah - acing this Adult-ing Thing.",tweet,@sassyflute Agreed! And we adored the new beau!
tweet,"Sure, let's see what kind of life that kid is gonna have instead. 

Ever hear the term ""a fate worse than death?""… https://t.co/VgVVUd2F4K",tweet,@ThucydideZ @AleksyDaSexy @al4n_woot @DinaL0han @mblehrhoff @ScottAdamsSays Whereas you've been on Twitter for 5 ye… https://t.co/aycSjoKC6N,tweet,@PA_Imperator @Pitt4Progress @SenMastriano You're a Catholic; don't tell me you're not into cannibalism... there's… https://t.co/kTXFJlDxK1,tweet,"""Biden Builds Transhuman Cyborg Army using Immigrants!"" 

They are their own parody. https://t.co/p2MuMJSHn8",tweet,@thegoodgodabove Tax the churches.,tweet,"@VJAorg @reed_ryson @RonFilipkowski @DeptVetAffairs @RepRubenGallego @Adrian_Fontes @PhxVAHealthcare ""I've also bee… https://t.co/KGedAbt7c1",tweet,"@RonnyJacksonTX Yeah I'm sure Mike Pence felt really ""Safe"" while the MAGAs erected a gallows and chanted for his execution.",favorite,"@KaylaChowShow ""where's the stupid Allen wrench?""",tweet,"@CawthornforNC You were turned down for the military. It's a pretty low bar, but you missed it.",tweet,"@UiDxZer0 @singsterblog @joelthemingway @alexbruesewitz @RyanAFournier ""In 2020 my mind was changed by how Covid was handled"" BY TRUMP, you mean? Dems weren't in charge in 2020. 

""The city I lived in had a CURFEW.""
Ok, so what? That was a reason to try to install a lying-ass dictator wannabe? 

You joined a #cult."
tweet,"🐈‍⬛
Ripley's Believe It or Not by Ripley’s Believe It or Not! for Wed, 09 Nov 2022

https://t.co/2smmGxsGE2

Source -

Patreon",tweet,"Quote of the Day: ""Life without liberty is like a body without spirit."" - Khalil Gibran",tweet,"Quote of the Day: ""I think; therefore I am."" - Rene Descartes",tweet,"https://t.co/UUVctGKWiK

Ripley's Believe It or Not by Ripley’s Believe It or Not! for Tue, 04 Oct 2022… https://t.co/OAm0HbGvSX",tweet,Alexander Pope https://t.co/bjzjvEhzyS,tweet,How to Apply for US Spouse visa in Nigeria https://t.co/VQBYa9j3OJ,tweet,"Garfield Classics by Jim Davis for Mon, 17 Oct 2022 https://t.co/HMtXA0UGxl",tweet,. https://t.co/X9gDgVgiog,tweet,"Andy Capp https://t.co/Z6reRtlIp1 Andy Capp by Reg Smythe for Wed, 09 Nov 2022 https://t.co/NwLayVWc2r

Source - Patreon

https://t.co/enITUodViP",tweet,Citizen Scientists Invited to Join the Seed Pile Project https://t.co/LDN0s1lG5Z
tweet,@yourbuddyspooky @BrianCerv1 @generasputin @inlanddefense @minglu778 @TtoEtoC @SonnyBunch @JasonCooper22… https://t.co/UzXVdrxypd,favorite,Smooth Criminal by Alien Ant Farm https://t.co/rGpw43RkWT,favorite,"@andreavhowe @lymanstoneky Of course not, and he blocked anybody who called him on it.

Pathetic little totalitarian.",tweet,@favourite_uncle It's almost as if textualism is good for minorities because it protects them from governmental caprice,tweet,@TimeoutWithTL The best grunge band was from Chicago anyway,tweet,@Boomieleaks Fuzzy handcuffs,tweet,@senatorshoshana @arthurbrooks Me trying to figure out how I wasn't following him already https://t.co/C5MH8sLo5Y,tweet,@aelfred_D I would watch,tweet,@AnikVJoshi @apocalypseos Homie needs a lesson in etymology,tweet,@joshaustintech @TheMiddleborne @TheEmmaDoodle It has never not been the right time
tweet,@B52Malmet For what?,tweet,@CalltoActivism Where does he plan on saving democracy?,tweet,@greighellipsis @DiggersgirlAmy @chadloder @elonmusk How?,tweet,@TheRickyDavila For what?,tweet,"@mxPlzner @RealJamesWoods What crank theories? 
What do you know for certain, other than nothing?
Your side believe… https://t.co/xB7ffDexR8",tweet,"@mmpadellan So are you. 
Difference is your job is to tweet on the platform he owns.",tweet,"@jeremy_wokka @elonmusk How do you not know ""whatever this is"" when you have over 3K tweets since 2/22 &amp; bought you… https://t.co/Hl1EcP0xWA",tweet,@ReverendWarnock I guess you missed Fetterman v. Oz debate.,favorite,"@jenjentee1 @RogerRa09234150 It's not about controlling the womb, it's about lack of personal responsibility and using abortion as a form of birth control up until full term. Nothing wrong with a reasonable limit, but liberals have to take everything to the extreme and lie along the way.",tweet,@MatthewJshow @POTUS Greed.
tweet,"TaskMaster makes the move from DAVE to Channel 4 on Thursday 15th October at 9pm.

 https://t.co/U6hdxb4EFs",tweet,"Are you less satisfied with the BBC these days? Let us know in the comments.

 https://t.co/Ix18Ccq80T",tweet,@lisanne624 @cantbeatbeta @TheMalonesGB Or give us a try at https://t.co/pd6dnfsT7g :),tweet,"Emmerdale are producing 6 new episodes for you to watch. And, in them they will tackle the lockdown.

You can watch… https://t.co/Jt7tqGWsof",tweet,"The John Lewis Christmas ad has dropped. What do you think of this year's advert?

 https://t.co/91o25we7gZ",tweet,"Storm Arwen is currently across the UK. This may cause some signal issues and some channels may break periodically. We are monitoring, and we will react to new reports proactively once confirmed. Please let our chat teams know if a channel is broken https://t.co/Aw0XEmTAFy",tweet,"The new DG of the BBC says he is against subscription fees for the BBC in place of licence fees in the UK.

 https://t.co/dJRjlMs7Dt",tweet,The next UK 'star' to play a cameo role on Neighbours will be... Russell Brand! He appears in the show on July 6th.… https://t.co/dSsy5kjXen,tweet,@chanfrench Please let us know if any issues continue.,tweet,@rwbainc Guide now fixed. Apologies for any inconvenience
favorite,"🫒Valerie is a tried and tested silhouette midi-length shirt dress - perfect for a summer getaway🫒

📸@the.pinup.doll https://t.co/SGa1i8W4u1",tweet,🌞sunshine- at long last! Time to get your Isabelle dress on. @curvecreation #pinup #pinupstyle… https://t.co/t09BzyCtUv,tweet,"Use code: GETTOGETHER50  at checkout to receive 50% off this week only!

📷@blossomandbuttercups https://t.co/e718jtQ9nA",tweet,"Melissa should be your go-to dress for a date night out❤️

📸@missravenred https://t.co/5NrPNL8Wwy",tweet,Who doesn’t ❤️ tiki glamour?eleanorpaigepinup wearing the Gigi dress… https://t.co/7zFNOdBIOa,tweet,@CatoinAdam wearing Maisy luscious leaves 🌴 https://t.co/sDZ2GbDW15,favorite,#wordsofwisdom #quotestoliveby #girlpower… https://t.co/KpZM1xGIZa,favorite,"Classy, feminine and a little sassy - Take your wardrobe to the next level with Cleo. 

📸@scarlettluxe @rachelanthiasherlock https://t.co/m0fZ8HitAc",tweet,💜Go bold and sassy in Agnes. Beautifully crafted with contemporary design💜 https://t.co/siTJBpTC6s,tweet,Flamingos (823820) - Albany Wallpapers - A raised textured vinyl wallcovering featuring extravagant  http://t.co/CJ9DftMmOB
retweet,"Global Value Chain Disruptions: The Future of Production in 2020

Don't miss out on the 1st Special Session of 2020… https://t.co/HCLkCakNEM",favorite,One girl went back to school. The other went back to the office. Good to see you @BowesSchool and @uclspp https://t.co/MvTSsKtHcp,tweet,@genderpol @ProfSobolewska Congratulations @ProfSobolewska - well deserved,tweet,Key insights from DEL’s @soomineoh on donations and support for gender equality efforts. Hint: we need to tackle st… https://t.co/b03I0KG6G9,retweet,UCL launches new Fellowships supporting academics displaced by the conflict in Ukraine | UCL News - UCL – Universit… https://t.co/b3xxI44rg3,favorite,We've opened the call for our @BritishAcademy_ @LeverhulmeTrust small research grants which give up to £10k to supp… https://t.co/iJ6IcgnBYW,retweet,"As Dean @UCLSocHistSci I am delighted to launch our Twitter account. Please follow to read about our cutting edge,… https://t.co/ktrEPLydGy",tweet,What a pleasure to talk about political courage with @Jennifer_Hodge2 and Dusan Rebolj. Listen to two of @uclspp’s… https://t.co/wE4ELkWf4U,tweet,👇 https://t.co/yNpB5iIDbw,retweet,"97% of the  covid vaccine research was paid for by taxpayers 

100% was bought by the govt on behalf of taxpayers… https://t.co/uyunttlg4i"
tweet,@BradPorcellato Oregon still hasn’t recognized the toxicity of progressive politics.,tweet,@RebelMom1994 🙏 🔥 🔥 go listen to x22 tonight. Got me very hopeful again.,tweet,@AlYap73961573 I’m really afraid of an acquisition at this ridiculously low price. We’d be lucky to get $150 back.,tweet,"@AlYap73961573 I think once the next wave comes here to the US, the sentiment will change. Right now it’s an endemi… https://t.co/Nqh09azqlh",tweet,@KevinRothWx @whynot138 Bats too risky for cash games?,tweet,What is the global pandemic treaty? | The Hindu https://t.co/PPpMQCIgLH via @YouTube,tweet,@Turtlex01 Wow what a drop in your price target. Weren’t you about 5x that just a few months ago?  I’ll give you cr… https://t.co/LXDUgsRKrY,tweet,@insatiablevine 🔥 🔥,tweet,@Cernovich You didn’t let it rest enough. 🥹,tweet,@insatiablevine 😍🔥
tweet,@OAllieen im sayinggg,tweet,https://t.co/KTf0KcjoHj,tweet,https://t.co/oIEzFhisGh,favorite,@yawnzzbambi @sunjakesgiggle u were there too?,tweet,Riki…not the trump tower in the bkg,tweet,pls support my tiktok 🫶🏽 https://t.co/8v65ggJ1Im,tweet,@bighithasmysoul @10dec12 LMFAOO,tweet,y’all im on the phone w mark now 😜,tweet,@01hrtz spoke korean into the microphone for this 😍,tweet,why does heeseung only post once a month ???? THIS MAN MOVES LIKE MY PERIOD i cant do this
tweet,@FyreInner thank you!,retweet,There’s less than a month left to submit for Issue 4! We’re looking for gothic + weird short fiction that’s modern… https://t.co/lTGQGFoKdu,retweet,We have 148 followers who are still following the transphobic women's art account and 81 followers who still follow… https://t.co/DHnHTkx2uU,tweet,"Simon Stålenhag meets high fantasy. The world is blanketed in an eternal winter and magic has become a pricey, unpl… https://t.co/FVmV7XA3Lw",retweet,From Chinese painter Liu Yi （柳毅） https://t.co/YqyoFQOnc7,retweet,"This is also why it takes me so long to read a book. If I want to read, I can't just say ""read"".

There's the step… https://t.co/s1l2MmbuPf",tweet,in case anyone needed more proof of how cool this anthology is 💐✨ https://t.co/KA3aAnS6qe,tweet,do you ever see your cat licking their whiskers even though you didn't give them any food and you go *oh no*,tweet,https://t.co/VxLwoPrzzB,tweet,@Merethebookgal Thank you!
retweet,"Today's main group of people that can fuck off consists of everyone who uses the term ""hump day""",tweet,"Another walk down memory lane... 40 years ago today I left academia and started work in CAP Financial, a software h… https://t.co/ssKWRUmdQT",retweet,19th April 2022 is my 76th birthday. I may or may not ‘trend’ on this hellsite and thus multitudes of morbid meathe… https://t.co/t9V59TyWYf,tweet,"Sign up for the William Meikle Newsletter and get a free starter library 
https://t.co/c9K7L5Zntd https://t.co/pUgcUhRmaD",favorite,@kblidook A 'liberal arts' degree would have taught you how to answer a question where the only two results are 'better' or 'worse'.,favorite,"@UTFB777 @henrymance Congratulations. You win today's whataboutery award. Your prize is fuck all, which is what you… https://t.co/HAa4yYXhnq",tweet,Not before time... https://t.co/hnlWa1IEgq,tweet,"@SkyNews ""Minister completely out of touch with reality."" And in other news, ""Bears shit in the woods.""",tweet,@SadieHartmann @Benjurigan Seconded.,retweet,"@ambernoelle Here's our upcoming Halloween flash fiction anthology (out October 31st, of course): https://t.co/oaRg6R6e59 

And our flash series (an Xmas edition is also coming in December): https://t.co/RNR7od4u39 https://t.co/ACoksiRvVd"
retweet,https://t.co/2iRIru3npy,retweet,"Obama just called out Dr. Oz for pushing faulty, untested medical products on his tv show ""If somebody who knows better, is willing to sell snake oil just to make money, then he's going to be willing to do and say anything to get elected."" Obama then received a standing ovation.",retweet,https://t.co/bAWsIlWKxV,tweet,Stop drinking dairy milk. End this. So many alternatives! https://t.co/QDE5x749A1,retweet,@CalltoActivism https://t.co/yltaO1nosb,retweet,"Here's our ""Every Dog Has Its Day"" - Jeezy needs your pledges and RTs to get out of death row in LA. A good boy who… https://t.co/nhhf4Sgf7W",retweet,It’s kinda wild that eating animals is a major factor driving our entire planet towards total catastrophe and peopl… https://t.co/qxZJO5aBcI,retweet,"If you look into these eyes and fail to recognise a person who has the same wish to live, to be with their family,… https://t.co/8PUeOBLye3",retweet,"Hey there! My name is Sherman and I am an unaltered male, black Domestic Sho… https://t.co/oNkkp8MWoX https://t.co/lD6KMPu5NZ",retweet,"New: Beto O’Rourke has issued a powerful closing statement, stating that when he is elected Texas’ Governor, he wil… https://t.co/Rub44YdV1d"
favorite,"Getting closer to High Tatra, Slovakia https://t.co/RN9ZUWU2Je",tweet,Is it Christmas? Today we all  were surprised by snow. A lot of snow! I felt like in December not the  end of March. These snow covered sources with egg decorations I found near a restaurant. https://t.co/OdMiClLNAu,tweet,@as_howell I have read both Interview and Gatsby. For audio book I would prefer Interview with vampire :),tweet,@Kiana_Tamarie Consider Self-publishing :),tweet,"The white milk river. Actually the water of little Vēršupīte is so rich of sulfur that makes the water white.
.
Black Alder Swamp boardwalk, Ķemeri, Latvia . https://t.co/5QpzrUk15f",tweet,@KatMcGeeAuthor Nice picture! You seem like a real wizard!,tweet,Getting ready for Christmas! https://t.co/qHnsNbhpKk,tweet,Sometimes events in real life are much more shocking than any writer could imagine :),tweet,Today I got so many positive and encouraging reviews about my colouring page that I feel... so happy and so grateful! Thanks to everyone!,tweet,"wow, its so surprisingly to find out that offshore wind farm near Germany is called as ""Veja mate"" because in Latvian ""Vēja Māte""means The mother of Wind. Maybe some Latvian worked on the name?"
tweet,Join me in supporting Raphael Warnock via @actblue https://t.co/tajdMjiVrI,retweet,"BOOM: In Pennsylvania, 74,194 young Democrats voted early this year, compared to 2018 where only 17,633 voted early… https://t.co/et1MjYCtG7",favorite,"Republicans present China as America’s real, long-term rival. Democrats agree. The scenario for a U.S.-China war is… https://t.co/E70iGzQN0A",retweet,"@RonFilipkowski Georgia, for the love of everything, why is this even close? This man is a gaslighting moron (my apologies to morons).",retweet,Proud mama moment first time being able to vote!! So proud of her!! 💙💙💙 https://t.co/ynMDM73ksO,tweet,@BlackKnight10k Agree!,retweet,@valdemings Marco is a do nothing fraud.  He should be fired.  He has used horrific gun violence in Fl at Pulse and… https://t.co/wvpzQxJCL1,retweet,https://t.co/DS5hjCTExI,retweet,IN less than 24 hours can we SEE a Texas Governor Beto O'Rourke? I can't wait to find out!🗳️💙,tweet,"@SenateGOP Democrats are not radical.
I'm a Democrat - I have a family budget to live on. I trust Democrats to care… https://t.co/4bsYz96Rtm"
favorite,@aniara_aniara @dragenfly75 @JANE79591745 Where is the proof?Your accused that fedal are mostly favored with just your assumptions but you can’t even show us the sources where journalist bashed or criticized novak for partying or whatever’s that is. Oh ya he did got covid in 2020 becaz of partying 😂😂,tweet,@KRL88906489 @Boeberrt Lol dream big bot,favorite,"Young White girl on school bus violently assaulted by black girl. 

The culture of violence needs to stop. https://t.co/7ik1G1IdZq",tweet,@chip09871 @rolandgarros @AlexZverev No one forced u! Annoying bots,favorite,@BriggsWarrenSF @hammer2627 @YPeasham @ThatOtherRich @JordanUhl @JonS253 A self defense won’t make him go jail lololoool,tweet,@salesforce @Benioff #unsubscribe,favorite,@nadlax1 @FrmrElectObunga @Calebej37 Yep like how California and New York decides who they like lol,tweet,@amandaorfitelli @My4EverWorld @MSNBC Yep an American flag will be much better,favorite,@MramericanJA @Tbuff100 @PollTrackerUSA @Rasmussen_Poll 🤡,tweet,@LionelNeverLost @airstreamtrader @andyyngyyen So the guidance only work on democrats ??
